timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698751173438,513,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,71267,1193,13,13,null,497,6851,0
1698751180262,1531,https://www.isa.org/about-isa,200,OK,Thread Group 1-23,text,true,,35705,501,13,13,https://www.isa.org/about-isa,1079,0,764
1698751182078,491,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-17,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,365,0,0
1698751174268,1701,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-17,,true,,71267,1193,14,14,null,1344,6601,728
1698751182479,385,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-16,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,322,0,0
1698751173267,1564,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-16,,true,,71267,1193,14,14,null,1276,8034,717
1698751182571,361,https://www.isa.org/about-isa,200,OK,Thread Group 1-17,text,true,,35705,501,14,14,https://www.isa.org/about-isa,337,0,0
1698751182866,271,https://www.isa.org/about-isa,200,OK,Thread Group 1-16,text,true,,35705,501,14,14,https://www.isa.org/about-isa,252,0,0
1698751181260,1953,https://www.isa.org/about-isa,200,OK,Thread Group 1-24,text,true,,35705,501,14,14,https://www.isa.org/about-isa,1706,0,1381
1698751182996,298,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-18,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,273,0,0
1698751175267,1561,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-18,,true,,71267,1193,15,15,null,1289,6467,735
1698751183296,264,https://www.isa.org/about-isa,200,OK,Thread Group 1-18,text,true,,35705,501,15,15,https://www.isa.org/about-isa,260,0,0
1698751183295,308,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-15,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,290,0,0
1698751178943,575,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-15,,true,,71267,1193,15,15,null,550,4085,0
1698751182260,1411,https://www.isa.org/about-isa,200,OK,Thread Group 1-25,text,true,,35705,501,14,14,https://www.isa.org/about-isa,1186,0,938
1698751183890,259,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-12,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,241,0,0
1698751178490,534,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-12,,true,,71267,1193,14,14,null,492,5126,0
1698751183985,253,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-20,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,245,0,0
1698751177258,1425,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-20,,true,,71267,1193,13,13,null,1183,5556,692
1698751183260,1166,https://www.isa.org/about-isa,200,OK,Thread Group 1-26,text,true,,35705,501,14,14,https://www.isa.org/about-isa,938,0,700
1698751184240,256,https://www.isa.org/about-isa,200,OK,Thread Group 1-20,text,true,,35705,501,14,14,https://www.isa.org/about-isa,249,0,0
1698751185035,278,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-13,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,265,0,0
1698751177024,550,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-13,,true,,71267,1193,15,15,null,512,7740,0
1698751184260,1187,https://www.isa.org/about-isa,200,OK,Thread Group 1-27,text,true,,35705,501,14,14,https://www.isa.org/about-isa,954,0,715
1698751185297,265,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-14,text,true,,35562,692,14,14,https://www.isa.org/about-isa/what-is-automation,253,0,0
1698751177930,535,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-14,,true,,71267,1193,14,14,null,502,7098,0
1698751185637,263,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-19,text,true,,35562,692,13,13,https://www.isa.org/about-isa/what-is-automation,251,0,0
1698751176267,1533,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-19,,true,,71267,1193,13,13,null,1285,8101,765
1698751185902,258,https://www.isa.org/about-isa,200,OK,Thread Group 1-19,text,true,,35705,501,13,13,https://www.isa.org/about-isa,252,0,0
1698751185260,1218,https://www.isa.org/about-isa,200,OK,Thread Group 1-28,text,true,,35705,501,14,14,https://www.isa.org/about-isa,977,0,725
1698751186997,265,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-23,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,242,0,0
1698751180259,1796,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-23,,true,,71267,1193,15,15,null,1321,5208,764
1698751186260,1157,https://www.isa.org/about-isa,200,OK,Thread Group 1-29,text,true,,35705,501,15,15,https://www.isa.org/about-isa,928,0,690
1698751187266,251,https://www.isa.org/about-isa,200,OK,Thread Group 1-23,text,true,,35705,501,15,15,https://www.isa.org/about-isa,239,0,0
1698751187359,256,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-22,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,241,0,0
1698751179259,1508,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-22,,true,,71267,1193,15,15,null,1264,6849,713
1698751187618,250,https://www.isa.org/about-isa,200,OK,Thread Group 1-22,text,true,,35705,501,15,15,https://www.isa.org/about-isa,236,0,0
1698751187649,263,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-21,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,252,0,0
1698751178259,1551,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-21,,true,,71267,1193,15,15,null,1293,8103,776
1698751187896,283,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-26,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,255,0,0
1698751183259,1449,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-26,,true,,71267,1193,15,15,null,1193,3474,700
1698751187914,274,https://www.isa.org/about-isa,200,OK,Thread Group 1-21,text,true,,35705,501,15,15,https://www.isa.org/about-isa,267,0,0
1698751187255,1183,https://www.isa.org/about-isa,200,OK,Thread Group 1-30,text,true,,35705,501,15,15,https://www.isa.org/about-isa,955,0,711
1698751188184,266,https://www.isa.org/about-isa,200,OK,Thread Group 1-26,text,true,,35705,501,15,15,https://www.isa.org/about-isa,242,0,0
1698751188765,275,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-17,text,true,,35562,692,15,15,https://www.isa.org/about-isa/what-is-automation,263,0,0
